"Deutsch","Franz","Ital","Engl",,"Bemerkungen"
"### Druckausgabe

+ **Exportieren**: Es wird eine Datei im gewählten Format erstellt.
+ **Drucken**: Über den Druckdialog kann ein eingerichter Drucker ausgewählt und die Ausgabe gestartet werden.
+ **Schliessen**: Der Druckdialog wird geschlossen.
+ **Fortgeschritten**: Aufruf der der erweiterten Layout-Funktionalität 
","### Document imprimé

+ **Exporter** : un fichier est créé au format choisi.
+ **Imprimer** : dans la boîte de dialogue d’impression, on peut sélectionner une imprimante installée et lancer l’impression.
+ **Fermer** : la boîte de dialogue d’impression est fermée.
+ **Avancé** : utilisation des fonctions de layout avancées
","### Output di stampa

+ **Esporta**: viene creato un file nel formato scelto.
+ **Stampa**: tramite la schermata di stampa è possibile scegliere una stampante configurata e avviare l’output.
+ **Chiudi**: la finestra di dialogo di stampa viene chiusa.
+ **Avanzato**: richiamo della funzionalità di layout avanzata
","### Print output

+ **Export**: A file-based export will be performed, using the chosen file format.
+ **Print**: A printer selection dialog will be shown and the printing job will be submitted to the selected printer.
+ **Close**: Will close the printing dialog.
+ **Advanced**: Will open the advanced print layout editor
",,
"## Karte Kopieren / Karte Speichern

Diese Funktionen erlauben dem Benutzer, den im Hauptfenster sichtbaren Kartenausschnitt in die **_Zwischenablage_** oder in eine Datei zu speichern. Es wird jeweils immer genau der Inhalt des Kartenfenster gespeichert.

Die Funktion **_Karte speichern_** öffnet eine Dateidialog, wo sie den Namen, Pfad und Bildtyp (PNG, JPG und weitere Formate) auswählen. Eine World-Datei, die die Erweiterung PNGW oder JPGW enthält und im selben Ordner gespeichert wird, georeferenziert das Bild.
","## Copier carte / Enregistrer carte

Ces fonctions permettent à l’utilisateur d’enregistrer l’extrait de carte visible dans la fenêtre principale dans le **_presse-papier_** ou dans un fichier. C’est toujours le contenu exact de la fenêtre de carte qui est enregistré.

La fonction **_Enregistrer carte_** ouvre une boîte de dialogue fichier où vous sélectionnez le nom, le chemin et le type d’image (PNG, JPG et bien d’autres formats). Un fichier world portant l’extension PNGW ou JPGW sauvegardé dans le même dossier géoréférence l’image.
","## Copia mappa / Salva mappa

Le funzioni Copia mappa e Salva mappa situate nella scheda Mappa consentono all'utente di salvare il riquadro della mappa visibile della mappa negli **_appunti_** o in un'immagine. Viene sempre salvato il contenuto identico a quanto è mostrato nella finestra della mappa.

La funzione **_Salva mappa_** apre una finestra per i file in cui selezionare nome, percorso e tipo di immagine (PNG, JPG e molti altri formati). Un file world con estensione PNGW o JPGW salvato nella stessa cartella georeferenzia l’immagine.
","## Copy map / Save map

These functions allow the user to save the map extent visible in the main map frame to the **_clipboard_** or to a file. The contents of the map is saved exactely as it is rendered in the application.

The function **_Save map_** opens a file dialog where you select the name, path and type of image (PNG, JPG and many other formats). A world file with extension PNGW or JPGW saved in the same folder georeferences the image.
",,"Reihenfolge wiederspricht der Programmoberfläche"
"## KML / KMZ Export

Der Karteninhalt kann zudem als KML oder KMZ exportiert werden. Bilder sowie MSS-Symbole der Lagedarstellung werden nur im KMZ Format exportiert.

> Es soll beachtet werden, dass KMZ und KML verlustbehaftete Export-Formate sind, und daher nicht geeignet für den Austausch zwischen KADAS Anwender ist. Dazu sollte das native _*.qgs_ Projektformat verwendet werden.
","## Exportation KML/KMZ

Le contenu de la carte peut aussi être exporté comme KML ou KMZ. Les images que les symboles MSS sont seulement exportés au format KMZ.

> Il faut savoir que KMZ et KML sont des formats d’exportation qui génèrent souvent des pertes de données et qui ne conviennent donc pas pour les échanges entre utilisateurs de KADAS. Pour de tels échanges, il faut utiliser le format de projet natif _*.qgs_.
","## Esportazione in KML/KMZ

Il contenuto della mappa può inoltre essere esportato come KML o KMZ. Immagini, grafiche SVG e simboli MSS possono solamente venir esportato nel formato KMZ.

> È opportuno notare che KMZ e KML sono formati di esportazione che possono comportare delle per­dite e, pertanto, non sono adatti allo scambio tra utenti di KADAS. A questo scopo è necessario utiliz­zare il formato nativo _*.qgs_.
","## KML / KMZ export

The map content can also be exported as KML or KMZ. Images as well as MSS symbols are only exported in KMZ format.

> It should be noted that KMZ and KML are lossy export formats and therefore not suitable for exchange between KADAS users. The native _*.qgs_ project format should be used for this.
",,
"## GPKG Export / Import


","##","##","##",,"Neues Kapitel Help 1.2"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Help Version 1.1 (November 2017)",,,,,
"Help Version 1.1 (Januar 2018)",,,,,
"Text aus der anderen Version ergänzt",,,,,
